¹,EC,Protein,R_1,R_2,R_3,R_4,R_5,R_6,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8
3702,2.6.1.62,adenosylmethionine-8-amino-7-oxononanoate transaminase,S-adenosyl-L-methionine,8-amino-7-oxononanoate,NA,NA,NA,NA,S-adenosyl-4-(methylsulfanyl)-2-oxobutanoate,"7,8-diaminononanoate",NA,NA,NA,NA,NA,NA
3703,2.6.1.63,kynurenine-glyoxylate transaminase,L-kynurenine,glyoxylate,NA,NA,NA,NA,"4-(2-aminophenyl)-2,4-dioxobutanoate",glycine,NA,NA,NA,NA,NA,NA
3704,2.6.1.64,glutamine-phenylpyruvate transaminase,L-glutamine,phenylpyruvate,NA,NA,NA,NA,2-oxoglutaramate,L-phenylalanine,NA,NA,NA,NA,NA,NA
3705,2.6.1.65,N6-acetyl-beta-lysine transaminase,6-acetamido-3-aminohexanoate,2-oxoglutarate,NA,NA,NA,NA,6-acetamido-3-oxohexanoate,L-glutamate,NA,NA,NA,NA,NA,NA
3706,2.6.1.66,valine-pyruvate transaminase,L-valine,pyruvate,NA,NA,NA,NA,3-methyl-2-oxobutanoate,L-alanine,NA,NA,NA,NA,NA,NA
3707,2.6.1.67,2-aminohexanoate transaminase,L-2-aminohexanoate,2-oxoglutarate,NA,NA,NA,NA,2-oxohexanoate,L-glutamate,NA,NA,NA,NA,NA,NA
3708,2.6.1.70,aspartate-phenylpyruvate transaminase,L-aspartate,phenylpyruvate,NA,NA,NA,NA,oxaloacetate,L-phenylalanine,NA,NA,NA,NA,NA,NA
3709,2.6.1.71,lysine-pyruvate 6-transaminase,L-lysine,pyruvate,NA,NA,NA,NA,(S)-2-amino-6-oxohexanoate,L-alanine,NA,NA,NA,NA,NA,NA
3710,2.6.1.72,D-4-hydroxyphenylglycine transaminase,D-4-hydroxyphenylglycine,2-oxoglutarate,NA,NA,NA,NA,4-hydroxyphenylglyoxylate,L-glutamate,NA,NA,NA,NA,NA,NA
3711,2.6.1.73,methionine-glyoxylate transaminase,L-methionine,glyoxylate,NA,NA,NA,NA,4-(methylsulfanyl)-2-oxobutanoate,glycine,NA,NA,NA,NA,NA,NA
3712,2.6.1.74,cephalosporin-C transaminase,(7R)-7-(5-carboxy-5-oxopentanoyl)aminocephalosporinate,D-glutamate,NA,NA,NA,NA,cephalosporin C,2-oxoglutarate,NA,NA,NA,NA,NA,NA
3713,2.6.1.75,cysteine-conjugate transaminase,S-(4-bromophenyl)-L-cysteine,2-oxoglutarate,NA,NA,NA,NA,S-(4-bromophenyl)mercaptopyruvate,L-glutamate,NA,NA,NA,NA,NA,NA
3714,2.6.1.76,diaminobutyrate-2-oxoglutarate transaminase,"L-2,4-diaminobutanoate",2-oxoglutarate,NA,NA,NA,NA,L-aspartate 4-semialdehyde,L-glutamate,NA,NA,NA,NA,NA,NA
3715,2.6.1.77,taurine-pyruvate aminotransferase,taurine,pyruvate,NA,NA,NA,NA,L-alanine,2-sulfoacetaldehyde,NA,NA,NA,NA,NA,NA
3716,2.6.1.78,aspartate-prephenate aminotransferase,L-arogenate,oxaloacetate,NA,NA,NA,NA,prephenate,L-aspartate,NA,NA,NA,NA,NA,NA
3717,2.6.1.79,glutamate-prephenate aminotransferase,L-arogenate,2-oxoglutarate,NA,NA,NA,NA,prephenate,L-glutamate,NA,NA,NA,NA,NA,NA
3718,2.6.1.80,nicotianamine aminotransferase,nicotianamine,2-oxoglutarate,NA,NA,NA,NA,3''-deamino-3''-oxonicotianamine,L-glutamate,NA,NA,NA,NA,NA,NA
3719,2.6.1.81,succinylornithine transaminase,N2-succinyl-L-ornithine,2-oxoglutarate,NA,NA,NA,NA,N-succinyl-L-glutamate 5-semialdehyde,L-glutamate,NA,NA,NA,NA,NA,NA
3720,2.6.1.82,putrescine-2-oxoglutarate transaminase,4-aminobutanal,NA,NA,NA,NA,NA,1-pyrroline,H2O,NA,NA,NA,NA,NA,NA
3721,2.6.1.82,putrescine-2-oxoglutarate transaminase,putrescine,2-oxoglutarate,NA,NA,NA,NA,1-pyrroline,L-glutamate,H2O,NA,NA,NA,NA,NA
3722,2.6.1.82,putrescine-2-oxoglutarate transaminase,putrescine,2-oxoglutarate,NA,NA,NA,NA,4-aminobutanal,L-glutamate,NA,NA,NA,NA,NA,NA
3723,2.6.1.83,LL-diaminopimelate aminotransferase,"LL-2,6-diaminoheptanedioate",2-oxoglutarate,NA,NA,NA,NA,"(S)-2,3,4,5-tetrahydropyridine-2,6-dicarboxylate",L-glutamate,H2O,NA,NA,NA,NA,NA
3724,2.6.1.84,arginine-pyruvate transaminase,L-arginine,pyruvate,NA,NA,NA,NA,5-guanidino-2-oxopentanoate,L-alanine,NA,NA,NA,NA,NA,NA
3725,2.6.1.85,aminodeoxychorismate synthase,chorismate,L-glutamine,NA,NA,NA,NA,4-amino-4-deoxychorismate,L-glutamate,NA,NA,NA,NA,NA,NA
3726,2.6.1.86,2-amino-4-deoxychorismate synthase,(2S)-2-amino-4-deoxychorismate,L-glutamate,NA,NA,NA,NA,chorismate,L-glutamine,NA,NA,NA,NA,NA,NA
3727,2.6.1.87,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,UDP-4-amino-4-deoxy-beta-L-arabinopyranose,2-oxoglutarate,NA,NA,NA,NA,UDP-beta-L-threo-pentapyranos-4-ulose,L-glutamate,NA,NA,NA,NA,NA,NA
3728,2.6.1.88,methionine transaminase,L-methionine,a 2-oxo carboxylate,NA,NA,NA,NA,4-(methylsulfanyl)-2-oxobutanoate,an L-amino acid,NA,NA,NA,NA,NA,NA
3729,2.6.1.89,"dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose transaminase","dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose",2-oxoglutarate,NA,NA,NA,NA,dTDP-3-dehydro-6-deoxy-alpha-D-glucopyranose,L-glutamate,NA,NA,NA,NA,NA,NA
3730,2.6.1.90,"dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose transaminase","dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose",2-oxoglutarate,NA,NA,NA,NA,dTDP-3-dehydro-6-deoxy-alpha-D-galactopyranose,L-glutamate,NA,NA,NA,NA,NA,NA
3731,2.6.1.92,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine",2-oxoglutarate,NA,NA,NA,NA,"UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hex-4-ulose",L-glutamate,NA,NA,NA,NA,NA,NA
3732,2.6.1.93,neamine transaminase,neamine,2-oxoglutarate,NA,NA,NA,NA,6'-dehydroparomamine,L-glutamate,NA,NA,NA,NA,NA,NA
3733,2.6.1.94,2'-deamino-2'-hydroxyneamine transaminase,2'-deamino-2'-hydroxyneamine,2-oxoglutarate,NA,NA,NA,NA,2'-deamino-2'-hydroxy-6'-dehydroparomamine,L-glutamate,NA,NA,NA,NA,NA,NA
3734,2.6.1.95,neomycin C transaminase,neomycin C,2-oxoglutarate,NA,NA,NA,NA,6'''-deamino-6'''-oxoneomycin C,L-glutamate,NA,NA,NA,NA,NA,NA
3735,2.6.1.96,4-aminobutyrate-pyruvate transaminase,4-aminobutanoate,glyoxylate,NA,NA,NA,NA,succinate semialdehyde,glycine,NA,NA,NA,NA,NA,NA
3736,2.6.1.96,4-aminobutyrate-pyruvate transaminase,4-aminobutanoate,pyruvate,NA,NA,NA,NA,succinate semialdehyde,L-alanine,NA,NA,NA,NA,NA,NA
3737,2.6.1.97,archaeosine synthase,L-glutamine,7-cyano-7-carbaguanine15 in tRNA,H2O,NA,NA,NA,L-glutamate,archaeine15 in tRNA,NA,NA,NA,NA,NA,NA
3738,2.6.1.98,UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase,"UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate",2-oxoglutarate,NA,NA,NA,NA,UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate,L-glutamate,NA,NA,NA,NA,NA,NA
3739,2.6.1.99,L-tryptophan-pyruvate aminotransferase,L-tryptophan,pyruvate,NA,NA,NA,NA,indole-3-pyruvate,L-alanine,NA,NA,NA,NA,NA,NA
3740,2.6.1.100,L-glutamine:2-deoxy-scyllo-inosose aminotransferase,L-glutamine,2-deoxy-scyllo-inosose,NA,NA,NA,NA,2-oxoglutaramate,2-deoxy-scyllo-inosamine,NA,NA,NA,NA,NA,NA
3741,2.6.1.101,"L-glutamine:3-amino-2,3-dideoxy-scyllo-inosose aminotransferase",L-glutamine,"3-amino-2,3-dideoxy-scyllo-inosose",NA,NA,NA,NA,2-oxoglutaramate,2-deoxystreptamine,NA,NA,NA,NA,NA,NA
3742,2.6.1.102,GDP-perosamine synthase,GDP-alpha-D-perosamine,2-oxoglutarate,NA,NA,NA,NA,GDP-4-dehydro-alpha-D-rhamnose,L-glutamate,NA,NA,NA,NA,NA,NA
3743,2.6.1.103,"(S)-3,5-dihydroxyphenylglycine transaminase","(S)-3,5-dihydroxyphenylglycine",2-oxoglutarate,NA,NA,NA,NA,"2-(3,5-dihydroxyphenyl)-2-oxoacetate",L-glutamate,NA,NA,NA,NA,NA,NA
3744,2.6.1.104,3-dehydro-glucose-6-phosphate-glutamate transaminase,kanosamine 6-phosphate,2-oxoglutarate,NA,NA,NA,NA,3-dehydro-D-glucose 6-phosphate,L-glutamate,NA,NA,NA,NA,NA,NA
3745,2.6.1.105,lysine-8-amino-7-oxononanoate transaminase,L-lysine,8-amino-7-oxononanoate,NA,NA,NA,NA,(S)-2-amino-6-oxohexanoate,"7,8-diaminononanoate",NA,NA,NA,NA,NA,NA
3746,2.6.1.106,"dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase","dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose",2-oxoglutarate,NA,NA,NA,NA,"dTDP-3-dehydro-4,6-deoxy-alpha-D-glucose",L-glutamate,NA,NA,NA,NA,NA,NA
3747,2.6.1.107,beta-methylphenylalanine transaminase,"(2S,3S)-3-methylphenylalanine",2-oxoglutarate,NA,NA,NA,NA,(3S)-2-oxo-3-phenylbutanoate,L-glutamate,NA,NA,NA,NA,NA,NA
3748,2.6.1.108,(5-formylfuran-3-yl)methyl phosphate transaminase,L-alanine,(5-formylfuran-3-yl)methyl phosphate,NA,NA,NA,NA,pyruvate,[5-(aminomethyl)furan-3-yl]methyl phosphate,NA,NA,NA,NA,NA,NA
3749,2.6.1.109,"8-amino-3,8-dideoxy-alpha-D-manno-octulosonate transaminase","8-amino-3,8-dideoxy-alpha-D-manno-octulosonate",2-oxoglutarate,NA,NA,NA,NA,8-dehydro-3-deoxy-alpha-D-manno-octulosonate,L-glutamate,NA,NA,NA,NA,NA,NA
3750,2.6.1.110,"dTDP-4-dehydro-2,3,6-trideoxy-D-glucose 4-aminotransferase","dTDP-4-amino-2,3,4,6-tetradeoxy-alpha-D-erythro-hexopyranose",2-oxoglutarate,NA,NA,NA,NA,"dTDP-4-dehydro-2,3,6-trideoxy-alpha-D-hexopyranose",L-glutamate,NA,NA,NA,NA,NA,NA
3751,2.6.1.111,3-aminobutanoyl-CoA transaminase,3-aminobutanoyl-CoA,2-oxoglutarate,NA,NA,NA,NA,acetoacetyl-CoA,L-glutamate,NA,NA,NA,NA,NA,NA
3752,2.6.1.112,(S)-ureidoglycine-glyoxylate transaminase,(S)-ureidoglycine,glyoxylate,NA,NA,NA,NA,N-carbamoyl-2-oxoglycine,glycine,NA,NA,NA,NA,NA,NA
3753,2.6.1.113,putrescine-pyruvate transaminase,putrescine,pyruvate,NA,NA,NA,NA,4-aminobutanal,alanine,NA,NA,NA,NA,NA,NA
3754,2.6.1.114,8-demethyl-8-aminoriboflavin-5'-phosphate synthase,8-demethyl-8-formylriboflavin 5'-phosphate,H2O,acceptor,NA,NA,NA,8-carboxy-8-demethylriboflavin 5'-phosphate,reduced acceptor,NA,NA,NA,NA,NA,NA
3755,2.6.1.114,8-demethyl-8-aminoriboflavin-5'-phosphate synthase,FMN,O2,NA,NA,NA,NA,8-demethyl-8-formylriboflavin 5'-phosphate,H2O,NA,NA,NA,NA,NA,NA
3756,2.6.1.114,8-demethyl-8-aminoriboflavin-5'-phosphate synthase,L-glutamate,8-carboxy-8-demethylriboflavin 5'-phosphate,H2O,acceptor,NA,NA,2-oxoglutarate,8-amino-8-demethylriboflavin 5'-phosphate,CO2,reduced acceptor,NA,NA,NA,NA
3757,2.6.1.114,8-demethyl-8-aminoriboflavin-5'-phosphate synthase,L-glutamate,FMN,O2,H2O,acceptor,NA,2-oxoglutarate,8-amino-8-demethylriboflavin 5'-phosphate,CO2,reduced acceptor,NA,NA,NA,NA
3758,2.6.1.115,5-hydroxydodecatetraenal 1-aminotransferase,"(2E,5S,6E,8E,10E)-1-aminododeca-2,6,8,10-tetraen-5-ol",pyruvate,NA,NA,NA,NA,"(2E,5S,6E,8E,10E)-5-hydroxydodeca-2,6,8,10-tetraenal",L-alanine,NA,NA,NA,NA,NA,NA
3759,2.6.1.116,6-aminohexanoate aminotransferase,6-aminohexanoate,2-oxoglutarate,NA,NA,NA,NA,6-oxohexanoate,L-glutamate,NA,NA,NA,NA,NA,NA
3760,2.6.1.117,L-glutamine-4-(methylsulfanyl)-2-oxobutanoate aminotransferase,L-glutamine,4-(methylsulfanyl)-2-oxobutanoate,NA,NA,NA,NA,2-oxoglutaramate,L-methionine,NA,NA,NA,NA,NA,NA
3761,2.6.1.119,vanillin aminotransferase,L-alanine,vanillin,NA,NA,NA,NA,pyruvate,vanillylamine,NA,NA,NA,NA,NA,NA
3762,2.6.3.1,oximinotransferase,pyruvate oxime,acetone,NA,NA,NA,NA,pyruvate,acetone oxime,NA,NA,NA,NA,NA,NA
3763,2.6.99.1,dATP(dGTP)-DNA purinetransferase,dATP,depurinated DNA,NA,NA,NA,NA,deoxyribose triphosphate,DNA,NA,NA,NA,NA,NA,NA
3764,2.6.99.2,pyridoxine 5'-phosphate synthase,1-deoxy-D-xylulose 5-phosphate,3-amino-2-oxopropyl phosphate,NA,NA,NA,NA,pyridoxine 5'-phosphate,phosphate,H2O,NA,NA,NA,NA,NA
3765,2.6.99.3,O-ureido-L-serine synthase,O-acetyl-L-serine,hydroxyurea,NA,NA,NA,NA,O-ureido-L-serine,acetate,NA,NA,NA,NA,NA,NA
3766,2.7.1.1,hexokinase,ATP,D-hexose,NA,NA,NA,NA,ADP,D-hexose 6-phosphate,NA,NA,NA,NA,NA,NA
3767,2.7.1.2,glucokinase,ATP,D-glucose,NA,NA,NA,NA,ADP,D-glucose 6-phosphate,NA,NA,NA,NA,NA,NA
3768,2.7.1.3,ketohexokinase,ATP,D-fructose,NA,NA,NA,NA,ADP,D-fructose 1-phosphate,NA,NA,NA,NA,NA,NA
3769,2.7.1.4,fructokinase,ATP,D-fructose,NA,NA,NA,NA,ADP,D-fructose 6-phosphate,NA,NA,NA,NA,NA,NA
3770,2.7.1.5,rhamnulokinase,ATP,L-rhamnulose,NA,NA,NA,NA,ADP,L-rhamnulose 1-phosphate,NA,NA,NA,NA,NA,NA
3771,2.7.1.6,galactokinase,ATP,alpha-D-galactose,NA,NA,NA,NA,ADP,alpha-D-galactose 1-phosphate,NA,NA,NA,NA,NA,NA
3772,2.7.1.B6,tagatose-1-phosphate kinase,ATP,D-tagatose 1-phosphate,NA,NA,NA,NA,ADP,"D-tagatose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3773,2.7.1.7,mannokinase,ATP,D-mannose,NA,NA,NA,NA,ADP,D-mannose 6-phosphate,NA,NA,NA,NA,NA,NA
3774,2.7.1.8,glucosamine kinase,ATP,D-glucosamine,NA,NA,NA,NA,ADP,D-glucosamine 6-phosphate,NA,NA,NA,NA,NA,NA
3775,2.7.1.10,phosphoglucokinase,ATP,alpha-D-glucose 1-phosphate,NA,NA,NA,NA,ADP,"alpha-D-glucose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3776,2.7.1.11,6-phosphofructokinase,ATP,D-fructose 6-phosphate,NA,NA,NA,NA,ADP,"D-fructose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3777,2.7.1.12,gluconokinase,ATP,D-gluconate,NA,NA,NA,NA,ADP,6-phospho-D-gluconate,NA,NA,NA,NA,NA,NA
3778,2.7.1.13,dehydrogluconokinase,ATP,2-dehydro-D-gluconate,NA,NA,NA,NA,ADP,6-phospho-2-dehydro-D-gluconate,NA,NA,NA,NA,NA,NA
3779,2.7.1.14,sedoheptulokinase,ATP,sedoheptulose,NA,NA,NA,NA,ADP,sedoheptulose 7-phosphate,NA,NA,NA,NA,NA,NA
3780,2.7.1.15,ribokinase,ATP,D-ribose,NA,NA,NA,NA,ADP,D-ribose 5-phosphate,NA,NA,NA,NA,NA,NA
3781,2.7.1.16,ribulokinase,ATP,L(or D)-ribulose,NA,NA,NA,NA,ADP,L(or D)-ribulose 5-phosphate,NA,NA,NA,NA,NA,NA
3782,2.7.1.17,xylulokinase,ATP,D-xylulose,NA,NA,NA,NA,ADP,D-xylulose 5-phosphate,NA,NA,NA,NA,NA,NA
3783,2.7.1.18,phosphoribokinase,ATP,D-ribose 5-phosphate,NA,NA,NA,NA,ADP,"alpha-D-ribose 1,5-bisphosphate",NA,NA,NA,NA,NA,NA
3784,2.7.1.B19,geranylgeraniol kinase,ATP,geranylgeraniol,NA,NA,NA,NA,ADP,geranylgeranyl phosphate,NA,NA,NA,NA,NA,NA
3785,2.7.1.19,phosphoribulokinase,ATP,D-ribulose 5-phosphate,NA,NA,NA,NA,ADP,"D-ribulose 1,5-bisphosphate",NA,NA,NA,NA,NA,NA
3786,2.7.1.20,adenosine kinase,ATP,adenosine,NA,NA,NA,NA,ADP,AMP,NA,NA,NA,NA,NA,NA
3787,2.7.1.B20,broad specificity nucleoside kinase,NTP,nucleoside,NA,NA,NA,NA,NDP,nucleoside 5'-phosphate,NA,NA,NA,NA,NA,NA
3788,2.7.1.21,thymidine kinase,ATP,thymidine,NA,NA,NA,NA,ADP,dTMP,NA,NA,NA,NA,NA,NA
3789,2.7.1.22,ribosylnicotinamide kinase,ATP,1-(beta-D-ribofuranosyl)-nicotinamide,NA,NA,NA,NA,ADP,beta-nicotinamide D-ribonucleotide,NA,NA,NA,NA,NA,NA
3790,2.7.1.23,NAD+ kinase,ATP,NAD+,NA,NA,NA,NA,ADP,NADP+,NA,NA,NA,NA,NA,NA
3791,2.7.1.24,dephospho-CoA kinase,ATP,3'-dephospho-CoA,NA,NA,NA,NA,ADP,CoA,NA,NA,NA,NA,NA,NA
3792,2.7.1.25,adenylyl-sulfate kinase,ATP,adenylyl sulfate,NA,NA,NA,NA,ADP,3'-phosphoadenylyl sulfate,NA,NA,NA,NA,NA,NA
3793,2.7.1.B26,aminoglycoside 3'-phosphotransferase,GTP,gentamicin JI-20A,NA,NA,NA,NA,GDP,gentamicin JI-20A 3'-phosphate,NA,NA,NA,NA,NA,NA
3794,2.7.1.26,riboflavin kinase,ATP,riboflavin,NA,NA,NA,NA,ADP,FMN,NA,NA,NA,NA,NA,NA
3795,2.7.1.27,erythritol kinase (D-erythritol 4-phosphate-forming),ATP,erythritol,NA,NA,NA,NA,ADP,D-erythritol 4-phosphate,NA,NA,NA,NA,NA,NA
3796,2.7.1.B27,tagatose-1-phosphate kinase,ATP,D-tagatose 1-phosphate,NA,NA,NA,NA,ADP,"D-tagatose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3797,2.7.1.B28,levoglucosan kinase,ATP,"1,6-anhydro-beta-D-glucopyranose",H2O,NA,NA,NA,ADP,6-phospho-alpha-D-glucopyranose,NA,NA,NA,NA,NA,NA
3798,2.7.1.28,triokinase,ATP,D-glyceraldehyde,NA,NA,NA,NA,ADP,D-glyceraldehyde 3-phosphate,NA,NA,NA,NA,NA,NA
3799,2.7.1.29,glycerone kinase,ATP,glycerone,NA,NA,NA,NA,ADP,glycerone phosphate,NA,NA,NA,NA,NA,NA
3800,2.7.1.30,glycerol kinase,ATP,glycerol,NA,NA,NA,NA,ADP,sn-glycerol 3-phosphate,NA,NA,NA,NA,NA,NA
3801,2.7.1.31,glycerate 3-kinase,ATP,D-glycerate,NA,NA,NA,NA,ADP,3-phospho-D-glycerate,NA,NA,NA,NA,NA,NA
3802,2.7.1.32,choline kinase,ATP,choline,NA,NA,NA,NA,ADP,phosphocholine,NA,NA,NA,NA,NA,NA
3803,2.7.1.33,pantothenate kinase,ATP,(R)-pantothenate,NA,NA,NA,NA,ADP,(R)-4'-phosphopantothenate,NA,NA,NA,NA,NA,NA
3804,2.7.1.34,pantetheine kinase,ATP,pantetheine,NA,NA,NA,NA,ADP,pantetheine 4'-phosphate,NA,NA,NA,NA,NA,NA
3805,2.7.1.35,pyridoxal kinase,ATP,pyridoxal,NA,NA,NA,NA,ADP,pyridoxal 5'-phosphate,NA,NA,NA,NA,NA,NA
3806,2.7.1.36,mevalonate kinase,ATP,(R)-mevalonate,NA,NA,NA,NA,ADP,(R)-5-phosphomevalonate,NA,NA,NA,NA,NA,NA
3807,2.7.1.39,homoserine kinase,ATP,L-homoserine,NA,NA,NA,NA,ADP,O-phospho-L-homoserine,NA,NA,NA,NA,NA,NA
3808,2.7.1.40,pyruvate kinase,ATP,pyruvate,NA,NA,NA,NA,ADP,phosphoenolpyruvate,NA,NA,NA,NA,NA,NA
3809,2.7.1.41,glucose-1-phosphate phosphodismutase,D-glucose 1-phosphate,NA,NA,NA,NA,NA,D-glucose,"D-glucose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3810,2.7.1.42,riboflavin phosphotransferase,alpha-D-glucose 1-phosphate,riboflavin,NA,NA,NA,NA,D-glucose,FMN,NA,NA,NA,NA,NA,NA
3811,2.7.1.43,glucuronokinase,ATP,D-glucuronate,NA,NA,NA,NA,ADP,1-phospho-alpha-D-glucuronate,NA,NA,NA,NA,NA,NA
3812,2.7.1.44,galacturonokinase,ATP,D-galacturonate,NA,NA,NA,NA,ADP,1-phospho-alpha-D-galacturonate,NA,NA,NA,NA,NA,NA
3813,2.7.1.45,2-dehydro-3-deoxygluconokinase,ATP,2-dehydro-3-deoxy-D-gluconate,NA,NA,NA,NA,ADP,2-dehydro-3-deoxy-6-phospho-D-gluconate,NA,NA,NA,NA,NA,NA
3814,2.7.1.46,L-arabinokinase,ATP,L-arabinose,NA,NA,NA,NA,ADP,beta-L-arabinose 1-phosphate,NA,NA,NA,NA,NA,NA
3815,2.7.1.47,D-ribulokinase,ATP,D-ribulose,NA,NA,NA,NA,ADP,D-ribulose 5-phosphate,NA,NA,NA,NA,NA,NA
3816,2.7.1.48,uridine/cytidine kinase,ATP,cytidine,NA,NA,NA,NA,ADP,CMP,NA,NA,NA,NA,NA,NA
3817,2.7.1.48,uridine/cytidine kinase,ATP,uridine,NA,NA,NA,NA,ADP,UMP,NA,NA,NA,NA,NA,NA
3818,2.7.1.49,hydroxymethylpyrimidine kinase,ATP,4-amino-5-hydroxymethyl-2-methylpyrimidine,NA,NA,NA,NA,ADP,4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine,NA,NA,NA,NA,NA,NA
3819,2.7.1.50,hydroxyethylthiazole kinase,ATP,4-methyl-5-(2-hydroxyethyl)thiazole,NA,NA,NA,NA,ADP,4-methyl-5-(2-phosphooxyethyl)thiazole,NA,NA,NA,NA,NA,NA
3820,2.7.1.51,L-fuculokinase,ATP,L-fuculose,NA,NA,NA,NA,ADP,L-fuculose 1-phosphate,NA,NA,NA,NA,NA,NA
3821,2.7.1.52,fucokinase,ATP,L-fucose,NA,NA,NA,NA,ADP,beta-L-fucose 1-phosphate,NA,NA,NA,NA,NA,NA
3822,2.7.1.53,L-xylulokinase,ATP,L-xylulose,NA,NA,NA,NA,ADP,L-xylulose 5-phosphate,NA,NA,NA,NA,NA,NA
3823,2.7.1.54,D-arabinokinase,ATP,D-arabinose,NA,NA,NA,NA,ADP,D-arabinose 5-phosphate,NA,NA,NA,NA,NA,NA
3824,2.7.1.55,allose kinase,ATP,D-allose,NA,NA,NA,NA,ADP,D-allose 6-phosphate,NA,NA,NA,NA,NA,NA
3825,2.7.1.56,1-phosphofructokinase,ATP,D-fructose 1-phosphate,NA,NA,NA,NA,ADP,"D-fructose 1,6-bisphosphate",NA,NA,NA,NA,NA,NA
3826,2.7.1.58,2-dehydro-3-deoxygalactonokinase,ATP,2-dehydro-3-deoxy-D-galactonate,NA,NA,NA,NA,ADP,2-dehydro-3-deoxy-6-phospho-D-galactonate,NA,NA,NA,NA,NA,NA
3827,2.7.1.59,N-acetylglucosamine kinase,ATP,N-acetyl-D-glucosamine,NA,NA,NA,NA,ADP,N-acetyl-D-glucosamine 6-phosphate,NA,NA,NA,NA,NA,NA
3828,2.7.1.60,N-acylmannosamine kinase,ATP,N-acyl-D-mannosamine,NA,NA,NA,NA,ADP,N-acyl-D-mannosamine 6-phosphate,NA,NA,NA,NA,NA,NA
3829,2.7.1.61,acyl-phosphate-hexose phosphotransferase,acyl phosphate,D-hexose,NA,NA,NA,NA,a carboxylate,D-hexose phosphate,NA,NA,NA,NA,NA,NA
3830,2.7.1.62,phosphoramidate-hexose phosphotransferase,phosphoramidate,D-hexose,NA,NA,NA,NA,NH3,alpha-D-hexose 1-phosphate,NA,NA,NA,NA,NA,NA
3831,2.7.1.63,polyphosphate-glucose phosphotransferase,(phosphate)n,D-glucose,NA,NA,NA,NA,(phosphate)n-1,D-glucose 6-phosphate,NA,NA,NA,NA,NA,NA
3832,2.7.1.64,inositol 3-kinase,ATP,myo-inositol,NA,NA,NA,NA,ADP,1D-myo-inositol 3-phosphate,NA,NA,NA,NA,NA,NA
3833,2.7.1.65,scyllo-inosamine 4-kinase,ATP,1-amino-1-deoxy-scyllo-inositol,NA,NA,NA,NA,ADP,1-amino-1-deoxy-scyllo-inositol 4-phosphate,NA,NA,NA,NA,NA,NA
3834,2.7.1.66,undecaprenol kinase,ATP,undecaprenol,NA,NA,NA,NA,ADP,undecaprenyl phosphate,NA,NA,NA,NA,NA,NA
3835,2.7.1.67,1-phosphatidylinositol 4-kinase,ATP,1-phosphatidyl-1D-myo-inositol,NA,NA,NA,NA,ADP,1-phosphatidyl-1D-myo-inositol 4-phosphate,NA,NA,NA,NA,NA,NA
3836,2.7.1.68,1-phosphatidylinositol-4-phosphate 5-kinase,ATP,1-phosphatidyl-1D-myo-inositol 4-phosphate,NA,NA,NA,NA,ADP,"1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate",NA,NA,NA,NA,NA,NA
3837,2.7.1.71,shikimate kinase,ATP,shikimate,NA,NA,NA,NA,ADP,3-phosphoshikimate,NA,NA,NA,NA,NA,NA
3838,2.7.1.72,streptomycin 6-kinase,ATP,streptomycin,NA,NA,NA,NA,ADP,streptomycin 6-phosphate,NA,NA,NA,NA,NA,NA
3839,2.7.1.73,inosine kinase,ATP,inosine,NA,NA,NA,NA,ADP,IMP,NA,NA,NA,NA,NA,NA
3840,2.7.1.74,deoxycytidine kinase,NTP,deoxycytidine,NA,NA,NA,NA,NDP,dCMP,NA,NA,NA,NA,NA,NA
3841,2.7.1.76,2'-deoxyadenosine kinase,ATP,2'-deoxyadenosine,NA,NA,NA,NA,ADP,dAMP,NA,NA,NA,NA,NA,NA
3842,2.7.1.77,nucleoside phosphotransferase,a nucleotide,a 2'-deoxyribonucleoside,NA,NA,NA,NA,a nucleoside,a 2'-deoxyribonucleoside 5'-phosphate,NA,NA,NA,NA,NA,NA
3843,2.7.1.78,polynucleotide 5'-hydroxyl-kinase,ATP,5'-dephospho-DNA,NA,NA,NA,NA,ADP,5'-phospho-DNA,NA,NA,NA,NA,NA,NA
